PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679700.000000 (2016-02-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766700.000000 (2016-02-15 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:44:31 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:44:31 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-15 17:28:42 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-14_A_02.dat                
508690500 A 3 -0.3935179813532897 8.68600903895988e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508690800 A 3 -0.3935651134608003 8.672666475151953e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508691100 A 3 -0.3936122459146517 8.665995193247991e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508691400 A 3 -0.3936593784257765 8.655988270392046e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508691700 A 3 -0.3937065107918403 8.659323911344027e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508692000 A 3 -0.3937536429141065 8.672666475151953e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508692300 A 3 -0.3938007747529641 8.642645706584121e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508692600 A 3 -0.3938479061241764 8.622631860872232e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508692900 A 3 -0.3938950371747559 8.615960578968267e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508693200 A 3 -0.3939421682888222 8.602618015160342e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508693500 A 3 -0.3939892996443318 8.612624938016287e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508693800 A 3 -0.3940364310195623 8.5559190418326e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508694100 A 3 -0.3940835622944631 8.572597246592509e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508694400 A 3 -0.3941306933778942 8.552583400880619e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508694700 A 3 -0.3941778242191785 8.592611092304398e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508695000 A 3 -0.3942249551321492 8.542576478024674e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508695300 A 3 -0.3942720861804642 8.515891350408823e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508695600 A 3 -0.3943192175308037 8.522562632312785e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508695900 A 3 -0.3943663490866483 8.522562632312785e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508696200 A 3 -0.3944134808088329 8.552583400880619e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508696500 A 3 -0.3944606128061641 8.522562632312785e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508696800 A 3 -0.3945077449590891 8.535905196120711e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508697100 A 3 -0.3945548770598438 8.525898273264766e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508697400 A 3 -0.3946020090318569 8.50922006850486e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508697700 A 3 -0.3946491406894624 8.519226991360804e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
