PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680017.308129 (2016-02-14 00:00:17.30)       
TIME LAST OBS(SEC PAST EPOCH) : 508766359.594564 (2016-02-14 23:59:19.59)       
NUMBER OF DATA RECORDS        : 2940                                            
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:46:36 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:46:38 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2016-02-15 17:30:07 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2016-02-15 05:29:24 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:44:31 by rl02              
END OF HEADER                                                                   
508680017 308129 G A  00000000 00110011 461.4929375315015 1.0359393288006 3.009175764645975 3.213461766855552
508680019 608128 G A  00000000 11001100 461.4212570382883 0 2.956702383458684 3.194254654829624
508680034 308126 G A  00000000 00110011 461.4929499911323 1.035939738785705 3.009178223581342 3.213471767550967
508680060 308122 G A  00000000 00110011 461.4929626950768 1.05233114027659 3.009180730732799 3.213481964343937
508680079 608119 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680139 608110 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508680156 308107 G A  00000000 00110011 461.4929753990284 1.052331566497167 3.00918323788594 3.213492161142451
508680176 308104 G A  00000000 00110011 461.4929881029873 1.052331992717744 3.009185745040765 3.213502357946506
508680182 308103 G A  00000000 00110011 461.4930008069534 1.052332418938321 3.009188252197278 3.213512554756096
508680185 308102 G A  00000000 00110011 461.4930132666195 1.035941820866919 3.009190711140879 3.213522555478586
508680187 308102 G A  00000000 00110011 461.4929943088979 1.317583136835634 3.009185424681682 3.213508884216265
508680191 308101 G A  00000000 00110011 461.493006768571 1.035942230852023 3.009187883626903 3.213518884944077
508680192 308101 G A  00000000 00110011 461.493019228251 1.035942640837127 3.009190342573749 3.213528885677225
508680199 308100 G A  00000000 00110011 461.493031687938 1.035943050822231 3.009192801522218 3.213538886415703
508680199 608100 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508680206 308099 G A  00000000 00110011 461.4930145088704 1.06920846731299 3.00918805138699 3.213526457483444
508680259 608091 G A  00000000 11001100 461.4212570382883 0 2.956702383458684 3.194254654829624
508680294 308085 G A  00000000 00110011 461.4929976601623 1.052493329312359 3.009183392598666 3.213514267563617
508680319 608081 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680335 308079 G A  00000000 00110011 461.4929801507128 1.085924882456703 3.009178551110817 3.213501599601958
508680337 308079 G A  00000000 00110011 461.4929629716226 1.069209744298653 3.009173800969872 3.213489170652728
508680350 308077 G A  00000000 00110011 461.4929461228922 1.052494581740606 3.009169142175938 3.213476980716262
508680363 308074 G A  00000000 00110011 461.4929292741546 1.052494991188302 3.009164483380171 3.213464790774351
508680366 308074 G A  00000000 00110011 461.492912095042 1.069211004912705 3.00915973323358 3.213452361808371
508680377 308072 G A  00000000 00110011 461.4928952462896 1.05249581811208 3.009155074434112 3.213440171855475
508680379 308072 G A  00000000 00110011 461.4928595665547 2.005287098023554 3.009145208735065 3.213414357819614
508680379 608072 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680384 308071 G A  00000000 00110011 461.4928427177796 1.052497094625485 3.009140549929878 3.213402167849755
508680390 308070 G A  00000000 00110011 461.4928258689973 1.052497504073181 3.009135891122857 3.213389977874452
508680439 608063 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680471 308057 G A  00000000 00110011 461.4928090202077 1.052497913520877 3.009131232314002 3.21337778789371
508680499 608053 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508680559 608044 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680619 608034 G A  00000000 11001100 461.4197215552579 0 2.956702383458684 3.192719171799166
508680679 608025 G A  00000000 11001100 461.4198415420141 0 2.955286887184399 3.194254654829624
508680739 608015 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508680741 308015 G A  00000000 00110011 461.4928214799016 1.035943460807335 3.009133691264088 3.213387788637517
508680754 308013 G A  00000000 00110011 461.4928341839104 1.052334935279037 3.009136198430551 3.213397985479828
508680788 308008 G A  00000000 00110011 461.4928468879264 1.052335361499614 3.009138705598703 3.213408182327688
508680799 608006 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508680827 308002 G A  00000000 00110011 461.4928718073634 1.871890233651197 3.009143623510356 3.213428183853034
508680856 307997 G A  00000000 00110011 461.4928842670923 1.035945526810702 3.009146082468616 3.213438184623706
508680859 607997 G A  00000000 11001100 461.4197215552579 0 2.956702383458684 3.192719171799166
508680862 307996 G A  00000000 00110011 461.4928967268282 1.035945936795806 3.009148541428492 3.213448185399704
508680866 307995 G A  00000000 00110011 461.4929091865711 1.03594634678091 3.009151000389996 3.213458186181037
508680919 607987 G A  00000000 11001100 461.4197215552579 0 2.956702383458684 3.192719171799166
508680979 607978 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508681039 607968 G A  00000000 11001100 461.4197215552579 0 2.956702383458684 3.192719171799166
508681072 307963 G A  00000000 00110011 461.4929216463208 1.035946756766014 3.00915345935312 3.2134681869677
508681099 607959 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508681159 607949 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508681219 607940 G A  00000000 11001100 461.4202942368462 0 2.955286887184399 3.194707349661844
508681267 307932 G A  00000000 00110011 461.492904567515 5.711496954295175 3.009145643266165 3.213458924248793
508681279 307931 G A  00000000 00110011 461.4928960281081 2.955749846933643 3.009141735221086 3.213454292887037
508681279 607931 G A  00000000 11001100 461.4183060589836 0 2.955286887184399 3.192719171799166
508681294 307928 G A  00000000 00110011 461.4928789492866 5.71150517301151 3.00913391912772 3.213445030158921
508681304 307927 G A  00000000 00110011 461.492870409872 2.955753956291811 3.009130011079435 3.213440398792561
508681317 307925 G A  00000000 00110011 461.4928618704548 2.955755326077867 3.00912610303008 3.213435767424665
508681325 307923 G A  00000000 00110011 461.4928533310349 2.955756695863923 3.009122194979657 3.213431136055235
508681338 307921 G A  00000000 00110011 461.4928447916125 2.955758065649979 3.009118286928166 3.213426504684269
508681339 607921 G A  00000000 11001100 461.4197215552579 0 2.956702383458684 3.192719171799166
508681348 307920 G A  00000000 00110011 461.4928362521874 2.955759435436035 3.009114378875605 3.213421873311769
508681356 307918 G A  00000000 00110011 461.4928277127597 2.955760805222091 3.009110470821977 3.213417241937733
508681370 307916 G A  00000000 00110011 461.4928191733295 2.955762175008148 3.00910656276728 3.213412610562163
508681382 307914 G A  00000000 00110011 461.4928106338966 2.955763544794204 3.009102654711513 3.213407979185059
508681392 307913 G A  00000000 00110011 461.4928020944611 2.95576491458026 3.00909874665468 3.213403347806419
508681399 607912 G A  00000000 11001100 461.417905761058 0 2.954886589258774 3.192719171799166
508681404 307911 G A  00000000 00110011 461.492793555023 2.955766284366315 3.009094838596778 3.213398716426243
