508672800 0 117140.0666161658 2.923e-05 SAT BIASGRACEA  
508673100 0 117154.196438352 2.915e-05 SAT BIASGRACEA  
508673400 0 117168.3262331826 2.904e-05 SAT BIASGRACEA  
508673700 0 117182.4560585795 2.9e-05 SAT BIASGRACEA  
508674000 0 117196.5859890455 2.902e-05 SAT BIASGRACEA  
508674300 0 117210.7159918544 2.896e-05 SAT BIASGRACEA  
508674600 0 117224.8460113535 2.889e-05 SAT BIASGRACEA  
508674900 0 117238.976082319 2.881e-05 SAT BIASGRACEA  
508675200 0 117253.1061566205 2.888e-05 SAT BIASGRACEA  
508675500 0 117267.2362057096 2.882e-05 SAT BIASGRACEA  
508675800 0 117281.3661447922 2.871e-05 SAT BIASGRACEA  
508676100 0 117295.4959615476 2.857e-05 SAT BIASGRACEA  
508676400 0 117309.6256237413 2.859e-05 SAT BIASGRACEA  
508676700 0 117323.7552670824 2.858e-05 SAT BIASGRACEA  
508677000 0 117337.8848871188 2.844e-05 SAT BIASGRACEA  
508677300 0 117352.0145267845 2.845e-05 SAT BIASGRACEA  
508677600 0 117366.144218982 2.83e-05 SAT BIASGRACEA  
508677900 0 117380.2738703192 2.828e-05 SAT BIASGRACEA  
508678200 0 117394.4035584717 2.819e-05 SAT BIASGRACEA  
508678500 0 117408.5332062424 2.811e-05 SAT BIASGRACEA  
508678800 0 117422.6628665813 2.808e-05 SAT BIASGRACEA  
508679100 0 117436.7926050737 2.802e-05 SAT BIASGRACEA  
508679400 0 117450.9224819863 2.808e-05 SAT BIASGRACEA  
508679700 0 117465.0524839846 2.798e-05 SAT BIASGRACEA  
508680000 0 117479.1825350546 2.802e-05 SAT BIASGRACEA  
508680300 0 117493.3125951181 2.791e-05 SAT BIASGRACEA  
508680600 0 117507.4426273293 2.79e-05 SAT BIASGRACEA  
508680900 0 117521.5726156928 2.79e-05 SAT BIASGRACEA  
508681200 0 117535.7025380617 2.783e-05 SAT BIASGRACEA  
508681500 0 117549.8323607855 2.764e-05 SAT BIASGRACEA  
508681800 0 117563.9620346741 2.762e-05 SAT BIASGRACEA  
508682100 0 117578.0916374185 2.745e-05 SAT BIASGRACEA  
508682400 0 117592.2212935614 2.733e-05 SAT BIASGRACEA  
508682700 0 117606.3509613102 2.708e-05 SAT BIASGRACEA  
508683000 0 117620.4805730442 2.697e-05 SAT BIASGRACEA  
508683300 0 117634.61024198 2.718e-05 SAT BIASGRACEA  
508683600 0 117648.7398907108 2.676e-05 SAT BIASGRACEA  
508683900 0 117662.8695398809 2.679e-05 SAT BIASGRACEA  
508684200 0 117676.999153299 2.666e-05 SAT BIASGRACEA  
508684500 0 117691.1288271588 2.676e-05 SAT BIASGRACEA  
508684800 0 117705.2585752895 2.672e-05 SAT BIASGRACEA  
508685100 0 117719.3884171504 2.683e-05 SAT BIASGRACEA  
508685400 0 117733.5183732609 2.666e-05 SAT BIASGRACEA  
508685700 0 117747.6483528089 2.662e-05 SAT BIASGRACEA  
