PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680006.986851 (2016-02-14 00:00: 6.98)       
TIME LAST OBS(SEC PAST EPOCH) : 508766392.685666 (2016-02-14 23:59:52.68)       
NUMBER OF DATA RECORDS        : 2499                                            
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:52:59 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:53:00 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2016-02-15 17:30:07 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2016-02-15 05:31:31 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:50:54 by rl02              
END OF HEADER                                                                   
508681746 986828 G B  00000000 11001100 462.6804763080483 0 3.503750390087875 3.930325917960446
508681806 986827 G B  00000000 11001100 462.7021487979418 0 3.525422879981408 3.930325917960446
508681866 986826 G B  00000000 11001100 462.7021487979418 0 3.525422879981408 3.930325917960446
508681926 986825 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508681986 986824 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682046 986823 G B  00000000 11001100 462.7043601717913 0 3.527634253830867 3.930325917960446
508682106 986823 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682166 986822 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682226 986821 G B  00000000 11001100 462.7045827577037 0 3.525899022071684 3.932283735631992
508682286 986820 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682346 986819 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682406 986818 G B  00000000 11001100 462.7045827577037 0 3.525899022071684 3.932283735631992
508682466 986818 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508682478 686817 G B  00000000 00110011 462.6569596854275 1.048385975477013 3.543147810987504 3.867411874439993
508682481 686817 G B  00000000 00110011 462.6569388163362 1.048386401129219 3.543136669717386 3.86740214661881
508682508 686817 G B  00000000 00110011 462.6569179472352 1.048386826781426 3.543125528442066 3.867392418793124
508682522 686817 G B  00000000 00110011 462.6568970781245 1.048387252433634 3.543114387161542 3.867382690962936
508682526 986817 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682529 686817 G B  00000000 00110011 462.6568762090041 1.04838767808584 3.543103245875816 3.867372963128247
508682541 686817 G B  00000000 00110011 462.6568344707341 1.896777058780509 3.543080963288749 3.867353507445366
508682553 686816 G B  00000000 00110011 462.6568136015846 1.048388955042461 3.54306982198741 3.867343779597173
508682586 986816 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682646 986815 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682706 986814 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508682710 686814 G B  00000000 00110011 462.6567927324253 1.048389380694668 3.543058680680868 3.867334051744479
508682766 986814 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682826 986813 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682886 986812 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508682946 986811 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508683006 986810 G B  00000000 11001100 462.6812663332133 0 3.502028595303575 3.932837737909733
508683066 986809 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508683126 986809 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508683186 986808 G B  00000000 11001100 462.6812663332133 0 3.502028595303575 3.932837737909733
508683246 986807 G B  00000000 11001100 462.6812663332133 0 3.502028595303575 3.932837737909733
508683306 986806 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508683366 986805 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508683426 986804 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508683486 986804 G B  00000000 11001100 462.6817391343403 0 3.502501396430558 3.932837737909733
508683546 986803 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508683606 986802 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508683666 986801 G B  00000000 11001100 462.6815029961732 0 3.504223870285992 3.930879125887171
508683726 986800 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508683742 686800 G B  00000000 00110011 462.6568083672278 1.04861136313639 3.543067131116654 3.867341236111173
508683786 986800 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508683832 686799 G B  00000000 00110011 462.6568240020389 1.048611788182556 3.543075581557058 3.86734842048184
508683846 986799 G B  00000000 11001100 462.6815029961732 0 3.504223870285992 3.930879125887171
508683906 986798 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508683921 686798 G B  00000000 00110011 462.6568193860838 2.860394619816073 3.543073396527563 3.867345989556244
508683928 686798 G B  00000000 00110011 462.6568147701277 2.860395952179059 3.543071211497642 3.86734355863004
508683941 686797 G B  00000000 00110011 462.6568101541705 2.860397284542045 3.543069026467295 3.867341127703224
508683954 686797 G B  00000000 00110011 462.6568055382123 2.860398616905031 3.543066841436521 3.8673386967758
508683965 686797 G B  00000000 00110011 462.6568009222531 2.860399949268017 3.543064656405319 3.867336265847767
508683966 986797 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508683979 686797 G B  00000000 00110011 462.6568119411124 3.709013494859725 3.543070921818707 3.867341019293763
508683980 686797 G B  00000000 00110011 462.6568073251511 2.860402613993989 3.543068736786653 3.867338588364511
508683998 686797 G B  00000000 00110011 462.6568027091888 2.860403946356975 3.543066551754173 3.867336157434649
508684012 686796 G B  00000000 00110011 462.6567980932255 2.860405278719961 3.543064366721266 3.867333726504178
508684021 686796 G B  00000000 00110011 462.656793477261 2.860406611082947 3.543062181687932 3.867331295573097
508684026 986796 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508684035 686796 G B  00000000 00110011 462.6567842453291 5.520818551617838 3.543057811619983 3.867326433709107
508684057 686796 G B  00000000 00110011 462.6567796293616 2.860410608171905 3.54305562658537 3.867324002776197
508684068 686796 G B  00000000 00110011 462.656775013393 2.860411940534891 3.54305344155033 3.867321571842679
508684077 686796 G B  00000000 00110011 462.6567703974234 2.860413272897877 3.543051256514863 3.867319140908551
508684086 986795 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508684088 686795 G B  00000000 00110011 462.6567657814528 2.860414605260863 3.54304907147897 3.867316709973814
508684110 686795 G B  00000000 00110011 462.6567611654811 2.860415937623848 3.54304688644265 3.867314279038466
508684140 686795 G B  00000000 00110011 462.6567519335347 5.520837204699641 3.54304251636873 3.867309417165944
508684146 986795 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684206 986794 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684266 986793 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508684326 986792 G B  00000000 11001100 462.6812663332133 0 3.502028595303575 3.932837737909733
508684386 986791 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684446 986790 G B  00000000 11001100 462.7068719917406 0 3.527634253830867 3.932837737909733
508684506 986790 G B  00000000 11001100 462.6812663332133 0 3.502028595303575 3.932837737909733
508684566 986789 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684626 986788 G B  00000000 11001100 462.7093082209258 0 3.528111429612357 3.934796791313409
508684686 986787 G B  00000000 11001100 462.7088310451443 0 3.527634253830867 3.934796791313409
508684714 686787 G B  00000000 00110011 462.6567310643657 1.048389806346875 3.543031375056985 3.867299689308748
508684723 686787 G B  00000000 00110011 462.6567101951871 1.048390231999082 3.543020233740033 3.867289961447052
508684738 686786 G B  00000000 00110011 462.6566893259987 1.048390657651289 3.543009092417882 3.867280233580854
508684746 986786 G B  00000000 11001100 462.6804763080483 0 3.503750390087875 3.930325917960446
508684806 986786 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684866 986785 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508684920 686784 G B  00000000 00110011 462.6566684568007 1.048391083303496 3.542997951090523 3.867270505710155
508684926 986784 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508684986 986783 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508685046 986782 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508685106 986781 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685166 986781 G B  00000000 11001100 462.7048373475728 0 3.528111429612357 3.930325917960446
508685226 986780 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685286 986779 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685346 986778 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685364 686778 G B  00000000 00110011 462.6566840916289 1.048612638274888 3.543006401540157 3.867277690088768
508685396 686777 G B  00000000 00110011 462.6566997264658 1.048613063321054 3.543014851994403 3.867284874471354
508685407 686777 G B  00000000 11111111 462.6567153613112 1.04861348836722 462.7073491675221 0 3.543023302453264 3.867292058857908 3.528111429612357 3.932837737909733
508685409 686777 G B  00000000 00110011 462.6567309961652 1.048613913413387 3.543031752916743 3.867299243248441
508685424 686777 G B  00000000 00110011 462.6567466310278 1.048614338459553 3.543040203384833 3.867306427642939
508685433 686777 G B  00000000 00110011 462.656762265899 1.048614763505719 3.543048653857539 3.867313612041416
508685466 986776 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685526 986776 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508685586 986775 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685611 686774 G B  00000000 00110011 462.6567622239906 0.356784409396167 3.543047920695251 3.867314303295326
508685612 686774 G B  00000000 00110011 462.6567621834346 0.3517269904335213 3.543047211183003 3.867314972251649
508685646 986774 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685706 986773 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508685766 986772 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685826 986772 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508685886 986771 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508685896 686771 G B  00000000 00110011 462.6567621428793 0.3517271330643004 3.543046501670408 3.867315641208883
508685946 986770 G B  00000000 11001100 462.7053905554995 0 3.528111429612357 3.930879125887171
508686006 986769 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508686066 986768 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686126 986767 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686186 986767 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686237 686766 G B  00000000 00110011 462.6567408644713 1.065026645092057 3.543035141880293 3.867305722590987
508686246 986766 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686290 686765 G B  00000000 00110011 462.6567199952536 1.048391942954032 3.543024000542425 3.867295994711198
508686298 686765 G B  00000000 00110011 462.6566991260262 1.048392368606239 3.543012859199352 3.867286266826906
508686306 986765 G B  00000000 11001100 462.6856589188041 0 3.50642118089433 3.932837737909733
508686366 986764 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686426 986763 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686486 986762 G B  00000000 11001100 462.6834616081957 0 3.504223870285992 3.932837737909733
508686542 686762 G B  00000000 00110011 462.6566782567892 1.048392794258446 3.543001717851078 3.867276538938113
508686546 986762 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686606 986761 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686667 686760 G B  00000000 11111111 462.6566739321935 2.912518660946621 462.7073491675221 0 3.542999393812382 3.867274538381139 3.528111429612357 3.932837737909733
508686686 686760 G B  00000000 00110011 462.6566696075972 2.912520025299917 3.542997069773281 3.867272537823906
508686696 686760 G B  00000000 00110011 462.6566652830002 2.912521389653212 3.542994745733775 3.867270537266409
508686709 686759 G B  00000000 00110011 462.6566566338042 5.625048236719604 3.54299009765355 3.867266536150629
508686726 986759 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
