PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679700.000000 (2016-02-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766700.000000 (2016-02-15 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:50:54 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:50:54 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-13_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-13_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-15 08:45:03 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-16 03:45:10 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-17 17:34:31 by rl02              
END OF HEADER                                                                   
508679700 B 4 -0.01314436807349931 1.108433488343459e-10 -1.372426365969342e-08 2.230504049666419e-11  00000010
508679700 B 4 -0.01314436807349931 1.108433488343459e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508680000 B 4 -0.01314848591625318 1.108767052438657e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508680300 B 4 -0.01315260372942927 1.108767052438657e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508680600 B 4 -0.01315672134046834 1.107099231962667e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508680900 B 4 -0.01316083869521923 1.105764975581874e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508681200 B 4 -0.01316495569219926 1.105764975581874e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508681500 B 4 -0.01316907240596062 1.100761514153902e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508681800 B 4 -0.01317318898824723 1.102095770534695e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508682100 B 4 -0.01317730564195498 1.098093001392317e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508682400 B 4 -0.01318142256982494 1.096425180916326e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508682700 B 4 -0.01318553964448654 1.094090232249939e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508683000 B 4 -0.01318965679622868 1.091421719488353e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508683300 B 4 -0.01319377406208402 1.094757360440335e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508683600 B 4 -0.01319789140063646 1.093423104059542e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508683900 B 4 -0.01320200881696259 1.087752514441174e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508684200 B 4 -0.01320612634652748 1.086084693965183e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508684500 B 4 -0.01321024399692466 1.089420334917165e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508684800 B 4 -0.01321436168602602 1.089753899012363e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508685100 B 4 -0.01321847956469933 1.090421027202759e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508685400 B 4 -0.0132225975535336 1.090754591297957e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508685700 B 4 -0.01322671554204695 1.087418950345976e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508686000 B 4 -0.01323083336386796 1.087752514441174e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508686300 B 4 -0.01323495107247925 1.090087463107561e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508686600 B 4 -0.01323906852126434 1.086418258060381e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508686900 B 4 -0.01324318557530567 1.085417565774787e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508687200 B 4 -0.01324730232478178 1.086084693965183e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508687500 B 4 -0.01325141919786548 1.085084001679589e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508687800 B 4 -0.01325553636999903 1.086418258060381e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508688100 B 4 -0.01325965364927725 1.080747668442013e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508688400 B 4 -0.01326377106169453 1.0830826171084e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508688700 B 4 -0.01326788855818489 1.084083309393994e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508689000 B 4 -0.01327200603102436 1.083749745298796e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
508689300 B 4 -0.0132761235941743 1.085751129869985e-10 -1.372426365969342e-08 2.230504049666419e-11  00000000
