PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015700.000000 (2014-01-14 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102700.000000 (2014-01-16 00:05:00.00)       
NUMBER OF DATA RECORDS        : 294                                             
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:23:15 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:23:15 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-16_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-16 02:22:39 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-17 03:24:00 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-16_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-24 07:26:42 by rl02              
END OF HEADER                                                                   
443015700 A 3 -0.5390616916528732 1.796909780832445e-10 -1.676492455121325e-07 2.23423254496855e-09  00000010
443015700 A 3 -0.5390616916528732 1.796909780832445e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443016000 A 3 -0.5391119866637692 1.798244037213238e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443016300 A 3 -0.5391622815581973 1.79791047311804e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443016600 A 3 -0.5392125764220097 1.79957829359403e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443016900 A 3 -0.5392628711177253 1.801913242260417e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443017200 A 3 -0.5393131659427784 1.805916011402795e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443017500 A 3 -0.53936346049609 1.816590062449136e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443017800 A 3 -0.5394137547951986 1.83927242092261e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443018100 A 3 -0.5394640484535511 1.859286266634499e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443018400 A 3 -0.5395143419252363 1.882302189203172e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443018700 A 3 -0.5395646356821941 1.916659291008582e-10 -1.676492455121325e-07 2.23423254496855e-09  00000000
443018780 A 3 -0.5395780505027548 6.237271588102423e-06 -1.676492455121325e-07 2.23423254496855e-09  00000001
443018780 A 3 3.759347919500469e-05 1.126426124694172e-06 -1.676417027462272e-07 2.274449411949118e-11  00000010
443019300 A 3 -4.947217582246157e-05 1.07040718149087e-10 -1.676417027462272e-07 2.274449411949118e-11  00000000
443019600 A 3 -9.976678525030158e-05 1.046724130731801e-10 -1.676417027462272e-07 2.274449411949118e-11  00000000
443019900 A 3 -0.0001500616569943638 1.030045925971894e-10 -1.676417027462272e-07 2.274449411949118e-11  00000000
443020200 A 3 -0.0002003564564276882 1.01270059302159e-10 -1.676417027462272e-07 2.274449411949118e-11  00000000
443020500 A 3 -0.0002506511409478565 1.002360106070447e-10 -1.676417027462272e-07 2.274449411949118e-11  00000000
443020800 A 3 -0.0003009459227116545 9.976902087376728e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443021100 A 3 -0.0003512405038074422 9.950216959760877e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443021400 A 3 -0.0004015350033249421 9.906853627385117e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443021700 A 3 -0.000451829330017004 9.833469526441522e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443022000 A 3 -0.0005021236140207597 9.793441835017745e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443022300 A 3 -0.0005524178382058784 9.706715170266224e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443022600 A 3 -0.0006027122054275187 9.706715170266224e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443022900 A 3 -0.0006530064661350481 9.636666710274613e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443023200 A 3 -0.000703300516566853 9.589967736946873e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443023500 A 3 -0.0007535942341866678 9.56328260933102e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443023800 A 3 -0.0008038876086402966 9.53993312266715e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443024100 A 3 -0.0008541808294496872 9.536597481715167e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443024400 A 3 -0.0009044743293034451 9.523254917907241e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
443024700 A 3 -0.0009547680732495333 9.466549021723556e-11 -1.676417027462272e-07 2.274449411949118e-11  00000000
