PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipSCA1BF            : 6                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: SCA_compress.c 1.112 06/11/09 17:36:18 g $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:20 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 4                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016000.000000 (2014-01-15 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102395.000000 (2014-01-15 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17189                                           
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:25:13 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:25:14 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : SCA1A<-SCA1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : SCA1A<-2014-01-16 04:30:43 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:23:15 by rl02              
END OF HEADER                                                                   
443016380 A 2 0.354354970876263 -0.204816656739441 0.07126530038158572 0.9096174738311062 0.0001185069727544357 00001000
443016385 A 2 0.354583007267238 -0.2022322053403481 0.07024459475519854 0.9101860925042631 0.0001212593251500992 00001000
443016390 A 2 0.3547371478911608 -0.1996798167791159 0.06928510927015696 0.9107629221210785 0.0001696182978049134 00001000
443016395 A 2 0.3550784705635264 -0.1969948424419684 0.06817581559765767 0.9112981784032738 0.0001695050412176202 00001000
443016400 A 2 0.354928447745964 -0.1946270903269657 0.06733205338328881 0.9119278958770205 0.000148661765675698 00001000
443016405 A 2 0.3552207405716121 -0.1919643714379764 0.06625549772655555 0.9124571850707215 0.0001344246422497726 00001000
443016410 A 2 0.3551962510505751 -0.1895391342660986 0.06535994468044497 0.9130381248626172 0.0001439121214497938 00001000
443016415 A 2 0.3552353503079474 -0.1870173268693604 0.0644145101638002 0.9136099475282581 0.0003029335633876955 00001000
443016420 A 4 0.3554623200205381 -0.1844014249545249 0.06338763287094949 0.9141250798000106 0.0001536328123798241 01000000
443016425 A 4 0.3554236170066762 -0.1819148836992656 0.06245799307881927 0.9147021518850497 5.656030076711342e-05 00000000
443016430 A 4 0.3554117330562492 -0.1793160277748956 0.06148507227150361 0.9152856647390225 9.238685935450786e-05 10000000
443016435 A 4 0.3557234985476297 -0.1766685238689558 0.06044238010403742 0.9157487340653868 6.672508471447018e-05 00000000
443016440 A 2 0.3561845006572907 -0.1739769344730338 0.05936221422505591 0.9161554209222258 7.637399912218658e-05 00001000
443016445 A 2 0.3561659982812673 -0.1714869498928908 0.05844075636264418 0.9166911615590626 0.0001579893044701308 00001000
443016450 A 2 0.3562013030458824 -0.1689806690270637 0.05748797151998783 0.9172029755370936 0.0001528330336516001 00001000
443016455 A 2 0.3564518603349184 -0.1662899752843142 0.05645465466242579 0.9176614775344252 8.162832082499438e-05 00001000
443016460 A 2 0.3565143944584084 -0.1637167342411929 0.05547077685386987 0.9181597412153187 5.88605049185733e-05 00001000
443016465 A 2 0.3565935167885345 -0.1611520628122144 0.05449846128754714 0.9186408406733521 0.0001458332179489133 00001000
443016470 A 2 0.3567345940885334 -0.1585057384588113 0.05349779019613037 0.9191051880499028 7.730408714659572e-05 00001000
443016475 A 2 0.3567421570143607 -0.1559615343036746 0.0525305514195005 0.9195931569960425 6.940533212180578e-05 00001000
443016480 A 2 0.3569152439875963 -0.1533426877593555 0.05151143150021073 0.9200239677012825 0.000155630365782762 00001000
443016485 A 2 0.3571060987950555 -0.1506534253529113 0.05048244711185 0.9204511405644572 0.0001639093818195036 00001000
443016490 A 2 0.3570913207399275 -0.1481409568693142 0.04953320782043533 0.9209161236904672 0.0002234162819051767 00001000
443016495 A 2 0.3572373273828484 -0.1455049818038665 0.04852215168263307 0.9213334863070504 6.464032743670429e-05 00001000
443016500 A 2 0.3571944065704017 -0.1429645461247468 0.04757990977192891 0.9217968575842831 0.0001110935090929635 00001000
443016505 A 2 0.3572838619324821 -0.1403986565716311 0.04658788805546954 0.9222071502227812 5.382338669646808e-05 00001000
443016510 A 2 0.3574047441661003 -0.137752072324348 0.04556676597654993 0.9226103648108177 6.619800136524244e-05 00001000
443016515 A 2 0.3574977808835469 -0.1351225347693434 0.04456533890277872 0.9230120084968169 6.100679399709193e-05 00001000
443016520 A 2 0.3576719674131547 -0.1324746868498313 0.04353429677264255 0.9233774883953766 0.0001228456014514012 00001000
443016525 A 2 0.3576100592499012 -0.1299769413375004 0.04258099699831093 0.9238007896394438 9.668877964019662e-05 00001000
443016530 A 2 0.3576634442528079 -0.1273549755218507 0.04158578544857678 0.9241905611418416 6.74125163698327e-05 00001000
443016535 A 2 0.3577831155181763 -0.1247190287472088 0.04055869726861524 0.9245492946264861 9.541531213504129e-05 00001000
443016540 A 2 0.3579907585034707 -0.1220348567334115 0.03951991665974393 0.9248720380438433 0.0001980223343434224 00001000
443016545 A 2 0.3580755902289739 -0.1193956478641608 0.03851118330934393 0.9252261559820839 0.0001443022067684692 00001000
443016550 A 2 0.3580115774932539 -0.1168907745554841 0.03754488344797919 0.9256104142302466 7.314918484889463e-05 00001000
