PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016000.691264 (2014-01-15 00:00: 0.69)       
TIME LAST OBS(SEC PAST EPOCH) : 443102351.989919 (2014-01-15 23:59:11.98)       
NUMBER OF DATA RECORDS        : 3933                                            
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:31:00 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:31:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2014-01-16 04:32:30 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2014-01-16 04:32:30 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:29:01 by rl02              
END OF HEADER                                                                   
443016000 691264 G B  00000000 00110011 469.5862707878906 1.551064038343558 6.624267617761978 7.715603170128588
443016002 691264 G B  00000000 00110011 469.5862020772497 0.9342743575270697 6.624235976771731 7.71556610047795
443016010 691264 G B  00000000 00110011 469.5860550363478 1.771349065231202 6.624168264992656 7.715486771355103
443016011 991264 G B  00000000 11001100 466.7018428911297 0 5.552420217102202 5.90302267402745
443016030 691264 G B  00000000 00110011 469.5859753318593 1.051759876443316 6.624131561377338 7.715443770482011
443016037 691264 G B  00000000 00110011 469.5858915046687 1.095817052329364 6.624092959273257 7.715398545395388
443016047 691263 G B  00000000 00110011 469.5858035547671 1.139874322772909 6.62405245867649 7.715351096090615
443016052 691263 G B  00000000 00110011 469.5857114821458 1.183931692349315 6.624010059582945 7.715301422562867
443016061 691263 G B  00000000 00110011 469.5855135944851 2.314722375047284 6.623918933064518 7.715194661420554
443016071 991263 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016078 691263 G B  00000000 00110011 469.5855248554963 0.3344125400355933 6.623923064788743 7.715201790707539
443016082 691263 G B  00000000 00110011 469.5853159737273 2.432210866593669 6.623826875525443 7.715089098201922
443016098 691263 G B  00000000 00110011 469.5852087842593 1.345477659891653 6.623777515181571 7.715031269077741
443016114 691262 G B  00000000 00110011 469.5850988462452 1.374849966470591 6.623726889142771 7.714971957102478
443016131 991262 G B  00000000 11001100 466.69778300037 0 5.552420217102202 5.89896278326775
443016167 691262 G B  00000000 00110011 469.5850900960787 0.3251490158455733 6.623723465392718 7.714966630685922
443016191 991261 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016193 691261 G B  00000000 00110011 469.5851742740914 1.134656362077752 6.623761590890741 7.715012683200648
443016248 691260 G B  00000000 00110011 469.585259767451 1.149261084031145 6.623800312129372 7.715059455321637
443016251 991260 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016268 691260 G B  00000000 00110011 469.5855267702139 3.164622371983396 6.623921241728812 7.715205528485107
443016273 691260 G B  00000000 00110011 469.585622786143 1.266096633291867 6.623964728798985 7.715258057344009
443016277 691260 G B  00000000 00110011 469.5858279711468 2.478238027145793 6.624057660198734 7.715370310948096
443016279 691260 G B  00000000 00110011 469.585938455537 1.426744749335088 6.624107700254616 7.715430755282327
443016289 691260 G B  00000000 00110011 469.5861725775846 2.799535911883764 6.624213737681035 7.715558839903551
443016291 691260 G B  00000000 00110011 469.5863071130366 1.70286692929533 6.624273733512222 7.715633379524363
443016294 691260 G B  00000000 00110011 469.5864485883836 1.780225398043927 6.624336841282318 7.715711747101246
443016296 691260 G B  00000000 00110011 469.5863400244972 1.360165399476341 6.624286848024184 7.715653176472991
443016299 691260 G B  00000000 00110011 469.5864341492813 1.254476219172628 6.624328510005014 7.715705639276308
443016302 691259 G B  00000000 00110011 469.5865312680001 1.288021367801248 6.624371496739236 7.715759771260892
443016309 691259 G B  00000000 00110011 469.5867298148463 2.424194923665983 6.624459390756797 7.71587042408953
443016311 991259 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016313 691259 G B  00000000 00110011 469.5869481415581 2.647145122680511 6.624555899685404 7.715992241872684
443016316 691259 G B  00000000 00110011 469.5869727665421 2.565572189361725 6.624565571384512 7.716007195157559
443016319 691259 G B  00000000 00110011 469.5869571461842 1.934816088603591 6.624557515283517 7.715999630900669
443016322 691259 G B  00000000 00110011 469.5869699823502 1.712691550871016 6.624562441366006 7.716007540984249
443016325 691259 G B  00000000 00110011 469.5868981275819 10.91001698315578 6.624530888725296 7.715967238856593
443016328 691259 G B  00000000 00110011 469.5870034265702 1.390042565376463 6.624576424374986 7.71602700219517
443016329 691259 G B  00000000 00110011 469.5870600470392 0.8407759626941169 6.62460081886821 7.716059228171049
443016334 691259 G B  00000000 00110011 469.5870760307773 0.3907832130955352 6.62460668338931 7.716069347387994
443016346 691259 G B  00000000 00110011 469.5872638175242 11.84324847314308 6.624683621180431 7.716180196343786
443016349 691259 G B  00000000 00110011 469.5871002087403 6.888770501355847 6.624611074935142 7.716089133805184
443016352 691259 G B  00000000 00110011 469.5871505661046 0.7682095016300997 6.624632945209054 7.71611762089551
443016353 691259 G B  00000000 00110011 469.5871913406999 0.6527335462275217 6.624651412642276 7.716139928057622
443016371 991258 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016381 691258 G B  00000000 00110011 469.5872854666231 1.254488670633542 6.624693075115271 7.716192391507867
443016384 691258 G B  00000000 00110011 469.5872354894314 0.7657209477063436 6.624670666482803 7.71616482294859
443016400 691258 G B  00000000 00110011 469.5872267391781 0.3251503848140118 6.624667242699863 7.71615949647825
443016403 691258 G B  00000000 00110011 469.5872571565692 0.7674519380192488 6.624681576516426 7.716175580052758
443016427 691258 G B  00000000 00110011 469.5872481146204 0.3293223891420515 6.624678038599649 7.716170076020747
443016431 991257 G B  00000000 11001100 466.69778300037 0 5.552420217102202 5.89896278326775
443016441 691257 G B  00000000 00110011 469.5872294473388 0.4669888504873594 6.624670734501054 7.7161587128377
443016456 691257 G B  00000000 00110011 469.5872198220045 0.3376663100827459 6.624666968318717 7.716152853685815
443016487 691257 G B  00000000 00110011 469.5871346196009 1.11051346239596 6.624627732935135 7.716106886665729
443016488 691257 G B  00000000 00110011 469.5870892699101 0.6846283177503848 6.624606849574622 7.716082420335427
443016491 991257 G B  00000000 11001100 466.6948590062355 0 5.549496222967785 5.89896278326775
443016495 691256 G B  00000000 00110011 469.5870411717347 0.7139999385332813 6.624584700547405 7.716056471187253
443016501 691256 G B  00000000 00110011 469.5869916993058 0.7286858706802167 6.624561918681724 7.716029780624121
443016505 691256 G B  00000000 00110011 469.5869394783869 0.758057552637408 6.624537871146796 7.716001607240132
443016507 691256 G B  00000000 00110011 469.5868267910645 1.404230595126037 6.624485979062651 7.715940812001842
443016514 691256 G B  00000000 00110011 469.5867663246533 0.8461728425283298 6.624458134509908 7.715908190143397
443016517 691256 G B  00000000 00110011 469.586701735499 0.8902304561240828 6.624428391449669 7.715873344049387
443016520 691256 G B  00000000 00110011 469.5864901027109 2.461610194248384 6.624330935354642 7.71575916735622
443016523 691256 G B  00000000 00110011 469.5863306907572 1.903552816152593 6.624257526755734 7.715673164001425
443016526 691256 G B  00000000 00110011 469.5861561619131 2.065099350870457 6.624177156886468 7.715579005026621
443016531 691256 G B  00000000 00110011 469.5859623933756 2.27070422310814 6.624087927211761 7.715474466163814
