PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015700.000000 (2014-01-14 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102700.000000 (2014-01-16 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:29:01 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:29:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-16_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-16 02:03:36 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-15_B_02.dat                
443026500 B 4 -0.008899325875362768 9.112971080813514e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443026800 B 4 -0.008903997903878708 9.076279030341718e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443027100 B 4 -0.008908670031921317 9.08295031224568e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443027400 B 4 -0.008913342224725743 9.026244416061995e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443027700 B 4 -0.008918014631738627 9.006230570350105e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443028000 B 4 -0.008922687235039414 8.986216724638216e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443028300 B 4 -0.008927359928588756 8.986216724638216e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443028600 B 4 -0.008932032473459283 9.002894929398125e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443028900 B 4 -0.008936704699415087 8.94952467416642e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443029200 B 4 -0.008941376744248256 8.946189033214438e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443029500 B 4 -0.00894604854157084 8.956195956070382e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443029800 B 4 -0.0089507203702617 8.889483137030753e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443030100 B 4 -0.008955392230889125 8.826105958943104e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443030400 B 4 -0.008960064086086626 8.736043653239604e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443030700 B 4 -0.008964736118288267 8.70602288467177e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443031000 B 4 -0.008969408241383361 8.68600903895988e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443031300 B 4 -0.008974080388494421 8.682673398007898e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443031600 B 4 -0.008978752466715853 8.645981347536101e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443031900 B 4 -0.008983424508768397 8.639310065632138e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443032200 B 4 -0.008988096456379874 8.659323911344027e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443032500 B 4 -0.008992768348362528 8.756057498951493e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443032800 B 4 -0.00899744034309862 8.682673398007898e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443033100 B 4 -0.00900211258855892 8.669330834199972e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443033400 B 4 -0.009006785044037563 8.605953656112323e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443033700 B 4 -0.009011457668983831 8.585939810400434e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443034000 B 4 -0.009016130245144079 8.562590323736564e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443034300 B 4 -0.009020802555151303 8.605953656112323e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443034600 B 4 -0.009025474815634699 8.572597246592509e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443034900 B 4 -0.009030147084455469 8.569261605640527e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443035200 B 4 -0.009034819237247069 8.585939810400434e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443035500 B 4 -0.009039491432870915 8.579268528496472e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443035800 B 4 -0.009044163666379397 8.582604169448453e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443036100 B 4 -0.009048835963293466 8.575932887544489e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
